blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
1530 009,1217 N GAY ST,BROADWAY EAST,12,EASTERN,"(39.304646846, -76.5931612547)",01/01/92311
0379 013,313 MOSHER ST,MADISON PARK,11,CENTRAL,"(39.3048236348, -76.6284407312)",01/01/101014
2381 002,2700 RAYNER AVE,MOSHER,9,WESTERN,"(39.296817359, -76.6623126612)",01/01/51309
1277 026,550 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.2971606223, -76.6031164157)",01/01/21313
2362 012,2536 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2949466235, -76.6574985982)",01/01/62912
3307B006,4311 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3388234706, -76.6653440105)",01/01/41310
3913 087,4002 WILSBY AVE,PEN LUCY,4,NORTHERN,"(39.338291441, -76.6047842115)",01/01/82614
0002 037,1947 W NORTH AVE,EASTERWOOD,7,WESTERN,"(39.3094700923, -76.6495851688)",01/01/11415
2394 029,2831 RIGGS AVE,MOSHER,9,WESTERN,"(39.3000573789, -76.6644206186)",01/01/20713
3814 039,2122 GREENMOUNT AVE,BARCLAY,12,EASTERN,"(39.3141014272, -76.6097452994)",01/01/110504
4004 010,1024 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3119421415, -76.6045648931)",01/01/31215
0036A011,1318 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3040557999, -76.6392710064)",01/01/32712
1733 022,3244 E BALTIMORE ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.2926128963, -76.5711363594)",01/01/92012
1688 019,2211 ORLEANS ST,CARE,13,SOUTHEASTERN,"(39.2952812884, -76.5860040761)",01/01/70710
0518 001,824 N CALVERT ST,MOUNT VERNON,12,CENTRAL,"(39.2996201264, -76.6133490266)",01/01/70114
1466 078,1700 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.3087460511, -76.5943059027)",01/01/32307
3957 010,1718 E 30TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3255581258, -76.5913634122)",01/01/110510
4164 008,1414 DARLEY AVE,DARLEY PARK,14,EASTERN,"(39.3151388375, -76.5964085902)",01/01/80907
3414 057,2336 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3113024521, -76.6394854521)",01/01/30215
1624 005,2408 E MONUMENT ST,MILTON-MONTFORD,13,EASTERN,"(39.2989835444, -76.583392065)",01/01/13015
0309 037,2111 DRUID HILL AVE,DRUID HEIGHTS,7,CENTRAL,"(39.3086594897, -76.6364046966)",01/01/112907
1570 065,2238 PRENTISS PL,MIDDLE EAST,13,EASTERN,"(39.3031349289, -76.585953308)",01/01/40908
0175 035,2134 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2900255479, -76.651049771)",01/01/110311
2141 017,2651 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2801505561, -76.6582958958)",01/01/110807
6128 015,3928 KENYON AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3167593959, -76.5614744529)",01/01/31815
4007 031,1923 HOPE ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3127166784, -76.6014672889)",01/01/11708
1277 028,554 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.2972196454, -76.6030390822)",01/01/112008
4137 072,2830 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3240497637, -76.5937490676)",01/01/41112
0129 110,918 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.2951658769, -76.6329088314)",01/01/121914
3055B022,3228 GWYNNS FALLS PKWY,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.3146037554, -76.672522364)",01/01/112114
3803 025,329 E 20TH ST,BARCLAY,12,EASTERN,"(39.312200623, -76.6114755868)",01/01/91406
3196 014,4628 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.3403637328, -76.6724455761)",01/01/122310
