TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000122078,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0320,021,0320021,21,0320 021,1,196.163431113,1158.81050255,1939 PENNSYLVANIA AVE,,PENNSYLVANIA,AVE,1939,,107.930176
600000000117557,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2309,001,2309001,1,2309 001,1,214.311534035,1408.10034929,1701 THOMAS AVE,,THOMAS,AVE,1701,,131.198407
600000000092240,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4061,034,4061034,34,4061 034,1,225.48239664,2208.71388424,615 SAINT ANNS AVE,,SAINT ANNS,AVE,615,,205.745874
600000000122546,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1150,065,1150065,65,1150 065,1,149.662759726,867.879074154,1301 N DALLAS ST,N,DALLAS,ST,1301,,80.7675357
600000000158097,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0155,045,0155045,45,0155 045,1,143.412758822,748.876283065,1111 W MULBERRY ST,W,MULBERRY,ST,1111,,69.7516537
600000000103159,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3805,007,3805007,7,3805 007,1,164.894586082,1033.43323207,436 E 20TH ST,E,20TH,ST,436,,96.1011029
600000000139859,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1237,030,1237030,30,1237 030,1,105.53589203,426.217871589,927 E MADISON ST,E,MADISON,ST,927,,41.4772351
600000000198892,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2141,026,2141026,26,2141 026,1,220.166601905,575.447737271,0,,,,0,,53.6166184
600000000138967,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0076,062,0076062,62,0076 062,1,116.301994104,524.479812668,908 WHATCOAT ST,,WHATCOAT,ST,908,,48.9674315
600000000147123,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2527,244,2527244,244,2527 244,1,127.294696892,1012.69312132,0,,,,0,,94.3165559
